olddrugname,cleandrugname
adalimumab - imraldi (homecare),adalimumab
adalimumab   amgevita 40mg 0.8ml pre filled pen,adalimumab
adalimumab   amgevita 40mg 0.8ml pre filled pen  h,adalimumab
adalimumab   amgevita 40mg 0.8ml pre filledsyringe,adalimumab
adalimumab  (imraldi) **homecare delivery only**,adalimumab
adalimumab  amgevita (homecare) pen,adalimumab
adalimumab  pen,adalimumab
adalimumab ! humira pen 40mg/0.4ml,adalimumab
adalimumab ! humira syringe  40mg/0.4ml,adalimumab
adalimumab ! humira syringe 40mg,adalimumab
adalimumab $ (humira) pen*hc*,adalimumab
adalimumab $ pen *homecare*,adalimumab
adalimumab $(humira) syr*hc*,adalimumab
adalimumab (),adalimumab
adalimumab (amgevita),adalimumab
adalimumab (amgevita)  pen,adalimumab
adalimumab (amgevita)  syringe,adalimumab
adalimumab (amgevita) (home delivery),adalimumab
adalimumab (amgevita) (home delivery) (g-s),adalimumab
adalimumab (amgevita) (homecare),adalimumab
adalimumab (amgevita) (pre-filled pens) 40 mg inj,adalimumab
adalimumab (amgevita) (pre-filled pens) 40 mg inje,adalimumab
adalimumab (amgevita) (pre-filled syringe) 20 mg,adalimumab
adalimumab (amgevita) (pre-filled syringe) 20 mg i,adalimumab
adalimumab (amgevita) (pre-filled syringe) 40 mg,adalimumab
adalimumab (amgevita) (pre-filled syringe) 40 mg i,adalimumab
adalimumab (amgevita) **homecare delivery only**,adalimumab
adalimumab (amgevita) 20 mg prefilled syringe,adalimumab
adalimumab (amgevita) 40 mg in 0.8ml prefilled pen,adalimumab
adalimumab (amgevita) 40 mg in 0.8ml prefilled syringe,adalimumab
adalimumab (amgevita) 40mg/0.8ml pen (2) (homecare,adalimumab
adalimumab (amgevita) pens (home delivery only),adalimumab
adalimumab (amgevita) pre-filled pen,adalimumab
adalimumab (amgevita) pre-filled syringe,adalimumab
adalimumab (amgevita)* ^,adalimumab
adalimumab (amgevita)40mg/0.8ml pen,adalimumab
adalimumab (ccg),adalimumab
adalimumab (d2e7) - homecare 40 mg preloaded pen,adalimumab
adalimumab (d2e7) - homecare 40 mg subcutaneous injection,adalimumab
adalimumab (d2e7) - homecare 80 mg preloaded pen,adalimumab
adalimumab (d2e7) 40 mg preloaded pen,adalimumab
adalimumab (d2e7) 40 mg subcutaneous injection,adalimumab
adalimumab (discounted)!40mg/0.4ml!pre-filled pen,adalimumab
adalimumab (for 'hs') ,adalimumab
adalimumab (for hs) - homecare 40 mg preloaded pen,adalimumab
adalimumab (home delivery),adalimumab
adalimumab (home) 40mg in 0.4ml injection,adalimumab
adalimumab (home) 40mg in 0.8ml injection,adalimumab
adalimumab (homecare (humira)),adalimumab
adalimumab (homecare (humira)),adalimumab
adalimumab (homecare pen pack),adalimumab
adalimumab (homecare syringe pack),adalimumab
adalimumab (homecare),adalimumab
adalimumab (homecare),adalimumab
adalimumab (homecare) (for hs),adalimumab
adalimumab (homecare) ^ 40 mg injection,adalimumab
adalimumab (homecare) hs dermatology,adalimumab
"adalimumab (homecare), injection,40mg/0.4ml, 1 pre-filled pen",adalimumab
adalimumab (humira * hs * ),adalimumab
adalimumab (humira * hs * ) (homecare),adalimumab
adalimumab (humira for homecare therapy),adalimumab
adalimumab (humira),adalimumab
adalimumab (humira),adalimumab
adalimumab (humira),adalimumab
adalimumab (humira),adalimumab
adalimumab (humira) - homecare 40 mg pen,adalimumab
adalimumab (humira) (home delivery),adalimumab
adalimumab (humira) (home delivery) 40 mg in 0.4ml pre-filled pen,adalimumab
adalimumab (humira) (home delivery) 40 mg pre-filled syringe,adalimumab
adalimumab (humira) (homecare),adalimumab
adalimumab (humira) (homecare) (pre-filled pen),adalimumab
adalimumab (humira) (homecare) 40 mg injection (pre-filled syringe),adalimumab
adalimumab (humira) (homecare) hs dermatology,adalimumab
adalimumab (humira) (pen) 40 mg injection,adalimumab
adalimumab (humira) (pre-filled pen),adalimumab
adalimumab (humira) (pre-filled pen),adalimumab
adalimumab (humira) (pre-filled pen),adalimumab
adalimumab (humira) (pre-filled pen) (homecare),adalimumab
adalimumab (humira) (pre-filled pens) 40 mg injec,adalimumab
adalimumab (humira) (pre-filled syringe) 40 mg in,adalimumab
adalimumab (humira) (pre-filled syringe) 40 mg inj,adalimumab
adalimumab (humira) **homecare delivery only**,adalimumab
adalimumab (humira) [homecare]  (gastro) (syringe) 40 mg injection,adalimumab
adalimumab (humira) [homecare] (derm h/s only) (pen) 40 mg injection,adalimumab
adalimumab (humira) [homecare] (dermatology) (pen) 40 mg injection,adalimumab
adalimumab (humira) [homecare] (gastro) (pen) 40 mg injection,adalimumab
adalimumab (humira) 20 mg prefilled syringe,adalimumab
adalimumab (humira) 40 mg in 0.4ml pre-filled injection pen,adalimumab
adalimumab (humira) 40 mg in 0.4ml pre-filled pen,adalimumab
adalimumab (humira) 40 mg in 0.4ml pre-filled syringe,adalimumab
adalimumab (humira) 40 mg in 0.4ml prefilled pen,adalimumab
adalimumab (humira) 40 mg in 0.4ml prefilled syringe,adalimumab
adalimumab (humira) 40 mg injection,adalimumab
adalimumab (humira) 40 mg injection,adalimumab
adalimumab (humira) 40 mg injection pen,adalimumab
adalimumab (humira) 40 mg pre-filled pen,adalimumab
adalimumab (humira) homecare (hs indication),adalimumab
adalimumab (humira) pen,adalimumab
adalimumab (humira) pre-filled pen,adalimumab
adalimumab (humira) pre-filled pen 40 mg subcutaneous injection,adalimumab
adalimumab (humira) pre-filled syringe,adalimumab
adalimumab (humira) pre-filled syringe 40 mg injection,adalimumab
adalimumab (humira) pre-filled syringe 40 mg subcutaneous injection,adalimumab
adalimumab (humira) syringe,adalimumab
adalimumab (humira)(home) 40mg in 0.4ml injection,adalimumab
adalimumab (humira)_(homecare) 20 mg in 0.2ml pre-filled syringe,adalimumab
adalimumab (humira)_(homecare) 40 mg in 0.4ml pre-filled injection pen,adalimumab
adalimumab (humira)_(homecare) 40 mg in 0.4ml pre-filled syringe,adalimumab
adalimumab (hyrimoz ),adalimumab
adalimumab (hyrimoz ) (homecare),adalimumab
adalimumab (hyrimoz ) (homecare) reference price,adalimumab
adalimumab (hyrimoz ) (homecare)reference price,adalimumab
adalimumab (hyrimoz ) (reference price),adalimumab
adalimumab (hyrimoz ) reference cost charge,adalimumab
adalimumab (hyrimoz),adalimumab
adalimumab (hyrimoz) (hhome) 40 mg pre-filled pen,adalimumab
adalimumab (hyrimoz) (home delivery),adalimumab
adalimumab (hyrimoz) (pre-filled pen) (homecare),adalimumab
adalimumab (hyrimoz) (pre filled pen),adalimumab
adalimumab (hyrimoz) 40 mg pre-filled pen,adalimumab
adalimumab (hyrimoz) pre-filled pen 40 mg subcutaneous injection,adalimumab
adalimumab (hyrimoz) pre-filled syringe 40 mg subcutaneous injection,adalimumab
adalimumab (hyrimoz)(home) 40 mg in 0.8ml pre-filled pen,adalimumab
adalimumab (imraldi biosimilar),adalimumab
adalimumab (imraldi for homecare therapy),adalimumab
adalimumab (imraldi),adalimumab
adalimumab (imraldi) ,adalimumab
adalimumab (imraldi) (home delivery),adalimumab
adalimumab (imraldi) (home delivery) 40 mg in 0.8ml pre-filled pen,adalimumab
adalimumab (imraldi) (home delivery) 40 mg pre-filled syringe,adalimumab
adalimumab (imraldi) (homecare),adalimumab
adalimumab (imraldi) (pre-filled pens) 40 mg injec,adalimumab
adalimumab (imraldi) [homecare] (rheumatology) (pen) 40 mg in 0.8ml injection,adalimumab
adalimumab (imraldi) 40 mg in 0.8ml pre-filled pen,adalimumab
adalimumab (imraldi) pens (home delivery only),adalimumab
adalimumab (imraldi) pre- filled syringe (home delivery),adalimumab
adalimumab (imraldi) pre-filled pen,adalimumab
adalimumab (imraldi) pre-filled pen,adalimumab
adalimumab (imraldi) pre-filled syringe,adalimumab
adalimumab (imraldi)$ pen,adalimumab
adalimumab (imraldi)40mg/0.8ml,adalimumab
adalimumab (pen),adalimumab
adalimumab (pen) (hhome) 40 mg injection pen,adalimumab
adalimumab (pen) (humira) (hhome) 40 mg injection pen,adalimumab
adalimumab (pen) 40 mg injection 2 x 40mg prefilled pen pack,adalimumab
adalimumab (pre-filled pen),adalimumab
adalimumab (pre-filled pen) (homecare),adalimumab
adalimumab (pre-filled pens) 40 mg injection,adalimumab
adalimumab (pre-filled syringe),adalimumab
adalimumab (pre-filled syringe) 40 mg injection,adalimumab
adalimumab **homecare delivery only**,adalimumab
adalimumab [amgevita] (homecare) 20 mg/0.4ml soln for inject pf syringes,adalimumab
adalimumab [amgevita] (homecare) 40 mg/0.8ml soln for inject pf disp device,adalimumab
adalimumab [amgevita] (homecare) 40 mg/0.8ml soln for injection pf pen,adalimumab
adalimumab [amgevita] 20 mg/0.2ml soln for inject pf syringes,adalimumab
adalimumab [amgevita] 20 mg/0.4ml soln for inject pf syringes,adalimumab
adalimumab [amgevita] 40 mg/0.8ml soln for inject pf syringes,adalimumab
adalimumab [amgevita] 40 mg/0.8ml soln for injection pf pen,adalimumab
adalimumab [humira] (homecare) 20 mg/0.2ml soln for inject pf syringes,adalimumab
adalimumab [humira] (homecare) 40 mg solution for injection,adalimumab
adalimumab [humira] (homecare) 40 mg/0.4ml soln for inject pf disp device,adalimumab
adalimumab [humira] (homecare) 40 mg/0.4ml soln for injection pf pen,adalimumab
adalimumab [humira] 40 mg/0.4ml soln for injection pf pen,adalimumab
adalimumab [imraldi] (homecare) 40 mg/0.8ml soln for inject pf disp device,adalimumab
adalimumab [imraldi] (homecare) 40 mg/0.8ml soln for inject pf syringes,adalimumab
adalimumab [imraldi] (homecare) 40 mg/0.8ml soln for injection pf pen,adalimumab
adalimumab [imraldi] 40 mg/0.8ml soln for inject pf disp device,adalimumab
adalimumab [imraldi] 40 mg/0.8ml soln for injection pf pen,adalimumab
adalimumab 20 mg prefilled syringe,adalimumab
adalimumab 20mg syringe (humira)(homecare),adalimumab
adalimumab 20mg/0.2ml pre-filled syringe,adalimumab
adalimumab 40 mg/0.4ml soln for inject pf syringes,adalimumab
adalimumab 40mg,adalimumab
adalimumab 40mg homecare,adalimumab
adalimumab 40mg homecare amgevita,adalimumab
adalimumab 40mg/0.4ml pen (humira) via homecare (1),adalimumab
adalimumab 40mg/0.4ml pre-filled pen,adalimumab
adalimumab 40mg/0.4ml pre-filled pen (2),adalimumab
adalimumab 40mg/0.4ml pre-filled pen humira (homec,adalimumab
adalimumab 40mg/0.4ml pre-filled syringe,adalimumab
adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices,adalimumab
adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices,adalimumab
adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices 2 pre-filled disposable injection,adalimumab
adalimumab 40mg/0.4ml solution for injection pre-filled syringes,adalimumab
adalimumab 40mg/0.4ml solution for injection pre-filled syringes,adalimumab
adalimumab 40mg/0.4ml!pre-filled pen (humira),adalimumab
adalimumab 40mg/0.4ml!pre-filled syringe (humira),adalimumab
adalimumab 40mg/0.8ml,adalimumab
adalimumab 40mg/0.8ml pen (amgevita)(2x0.8ml)(homecare),adalimumab
adalimumab 40mg/0.8ml pf pen (hyrimoz) (2) via homecare,adalimumab
adalimumab 40mg/0.8ml pre-filled pen,adalimumab
adalimumab 40mg/0.8ml pre-filled pen (amgevita)(2),adalimumab
adalimumab 40mg/0.8ml pre-filled pen (homecare patients),adalimumab
adalimumab 40mg/0.8ml pre-filled pen (humira)(homecare),adalimumab
adalimumab 40mg/0.8ml pre-filled pen (imraldi)(2)homecar,adalimumab
adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices,adalimumab
adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices,adalimumab
adalimumab 40mg/0.8ml solution for injection pre-filled syringes,adalimumab
adalimumab 40mg/0.8ml solution for injection pre-filled syringes,adalimumab
adalimumab 40mg/0.8ml solution for injection vials,adalimumab
adalimumab 40mg/0.8ml!pre-filled pen (amgevita),adalimumab
adalimumab 40mg/0.8ml!pre-filled pen (imraldi),adalimumab
adalimumab á(imraldi) **homecare delivery only**,adalimumab
adalimumab amgevita (1 x 0.8ml,adalimumab
adalimumab amgevita (1 x 0.8ml prefilled ),adalimumab
adalimumab amgevita (homecare),adalimumab
adalimumab amgevita 40 mg injection pre filled pen,adalimumab
adalimumab for hidradenitis suppurativa (humira)_(homecare) 40 mg in 0.4ml pre-filled injection pen,adalimumab
adalimumab homecare (hs indication),adalimumab
adalimumab hs (humira)$pen*hc*,adalimumab
adalimumab humira (),adalimumab
adalimumab humira (homecare),adalimumab
adalimumab humira (homecare) pen,adalimumab
adalimumab humira 40 mg injection pre filled pen,adalimumab
adalimumab hyrimoz (homecare),adalimumab
adalimumab hyrimoz pen (),adalimumab
adalimumab hyrimoz syringe (),adalimumab
adalimumab imraldi 40 mg injection pre filled pen,adalimumab
adalimumab imraldi 40 mg injection prefilled syringe,adalimumab
adalimumab pen,adalimumab
adalimumab pen $*homecare*,adalimumab
adalimumab pen (amgevita),adalimumab
adalimumab pen (amgevita) 40 mg in 0.8ml injection,adalimumab
adalimumab pen (humira),adalimumab
adalimumab pen (humira) 40 mg in 0.4ml injection,adalimumab
adalimumab pen *homecare* 40mg,adalimumab
adalimumab pen 40 mg injection,adalimumab
adalimumab pfs (amgevita) 40 mg subcutaneous injection 2 pre-filled syringe pack,adalimumab
adalimumab pfs (for 'hs') ,adalimumab
adalimumab pfs homecare (amgevita),adalimumab
adalimumab pfs homecare (amgevita) 40 mg subcutaneous injection 1 pre-filled syringe pack,adalimumab
adalimumab pfs homecare (humira),adalimumab
adalimumab pfs homecare (humira) 40 mg subcutaneous injection 1 pre-filled syringe pack,adalimumab
adalimumab pfs homecare 40 mg subcutaneous injection 1 pre-filled syringe pack,adalimumab
adalimumab pre-filled pen,adalimumab
adalimumab pre-filled pen  40mg/0.4ml injection,adalimumab
adalimumab pre-filled pen 40 mg injection,adalimumab
adalimumab pre-filled syringe 40 mg in 0.4ml injection,adalimumab
adalimumab pre-filled syringe 40 mg injection,adalimumab
adalimumab ref price,adalimumab
adalimumab reference price,adalimumab
adalimumab sub-cutaneous injection 40mg,adalimumab
adalimumab syringe $*homecare*,adalimumab
adalimumab syringe (amgevita),adalimumab
adalimumab syringe (amgevita) 20 mg in 0.4ml injection,adalimumab
adalimumab syringe (amgevita) 40 mg in 0.8ml injection,adalimumab
adalimumab syringe (homecare),adalimumab
adalimumab syringe *homecare*,adalimumab
adalimumab!20mg/0.2ml!pre-filled syringe,adalimumab
adalimumab!40mg!preloaded pen (1),adalimumab
adalimumab!40mg/0.4ml!injection (1 pfp),adalimumab
adalimumab!40mg/0.4ml!pre-filled pen,adalimumab
adalimumab!40mg/0.4ml!pre-filled pen (2),adalimumab
adalimumab!40mg/0.4ml!pre-filled pen (humira),adalimumab
adalimumab!40mg/0.4ml!pre-filled syringe,adalimumab
adalimumab!40mg/0.8ml!injection (1 vial),adalimumab
adalimumab!40mg/0.8ml!pen (amgevita)(2x0.8ml)(homecare),adalimumab
adalimumab!40mg/0.8ml!pre-filled pen,adalimumab
adalimumab!40mg/0.8ml!pre-filled pen (humira)(homecare),adalimumab
adalimumab!40mg/0.8ml!pre-filled pen (imraldi),adalimumab
adalimumab!40mg/0.8ml!pre-filled pen (imraldi)(2)homecar,adalimumab
adalimumab(amgevita),adalimumab
adalimumab(humira),adalimumab
adalimumab(humira),adalimumab
adalimumab_hc,adalimumab
aflibercept,VEGF
aflibercept,VEGF
aflibercept (eylea),VEGF
aflibercept (eylea) 4 mg in 0.1ml intravitreal injection,VEGF
aflibercept (eylea) 40 mg in 1ml injection,VEGF
aflibercept (eylea) 40 mg in 1ml injection 1 ampoule pack,VEGF
aflibercept (eylea) 40 mg in 1ml intravitreal injection,VEGF
aflibercept (eylea)^,VEGF
aflibercept (intra-ocular)^,VEGF
aflibercept (intra-ocular)^ 2 mg in 0.05ml pre-fil,VEGF
aflibercept [eylea] 2 mg/50microlitres solution for injection,VEGF
aflibercept [eylea] 2 mg/50microlitres solution for injection vials,VEGF
aflibercept 2mg/50microlitres solution for injection vials,VEGF
aflibercept 2mg/50microlitres solution for injection vials,VEGF
aflibercept 325 mg in 250ml nacl 0.9% intravenous infusion,VEGF
aflibercept 4 mg in 0.1ml,VEGF
aflibercept 4 mg in 0.1ml intravitreal injection,VEGF
aflibercept 4 mg intravitreal injection,VEGF
aflibercept 40 mg in 1ml injection,VEGF
aflibercept 40 mg in 1ml injection 1 ampoule pack,VEGF
aflibercept 40 mg in 1ml intravitreal injection,VEGF
aflibercept 40 mg in 1ml intravitreal injection,VEGF
aflibercept 40mg in 1ml 4 mg in 0.1ml intravitreal injection,VEGF
aflibercept 4mg/0.1ml injection,VEGF
aflibercept 4mg/0.1ml injection (1 vial),VEGF
aflibercept 4mg/0.1ml injection (1 vial),VEGF
aflibercept 4mg/0.1ml solution for injection vials,VEGF
aflibercept eylea 4 mg in 0.1ml intravitreal injection,VEGF
aflibercept intravitreal,VEGF
aflibercept intravitreal,VEGF
aflibercept intravitreal (left eye),VEGF
aflibercept intravitreal (right eye),VEGF
aflibercept intravitreal 4mg,VEGF
aflibercept!4mg/0.1ml!injection,VEGF
aflibercept^,VEGF
alemtuzumab,alemtuzumab
alemtuzumab,alemtuzumab
alemtuzumab  # (for bmt/ haem use only) (nccc trials use),alemtuzumab
alemtuzumab  (10mg in 1ml),alemtuzumab
alemtuzumab (civas / cytos),alemtuzumab
alemtuzumab (foc- campath access program) 30 mg i,alemtuzumab
alemtuzumab (foc- campath access program) 30 mg in,alemtuzumab
alemtuzumab (free of charge),alemtuzumab
alemtuzumab (lemtrada),alemtuzumab
alemtuzumab (lemtrada),alemtuzumab
alemtuzumab (lemtrada) 12 mg in 1.2ml injection,alemtuzumab
alemtuzumab (lemtrada) iv infusion asu,alemtuzumab
alemtuzumab (mabcampath) (foc),alemtuzumab
alemtuzumab (patient access scheme),alemtuzumab
alemtuzumab 10 mg in 1ml injection,alemtuzumab
alemtuzumab 10mg-1ml concentrate for inf(1.2ml),alemtuzumab
alemtuzumab 10mg/1ml concentrate for inf(1.2ml),alemtuzumab
alemtuzumab 10mg/1ml concentrate for infusion(1.2m,alemtuzumab
alemtuzumab 10mg/1ml concentrate for infusion(1.2ml),alemtuzumab
alemtuzumab 12 mg in 1.2ml injection,alemtuzumab
alemtuzumab 12 mg in 1.2ml injection,alemtuzumab
alemtuzumab 12 mg in 1.2ml intravenous infusion,alemtuzumab
alemtuzumab 12mg/1.2ml solution for infusion vials,alemtuzumab
alemtuzumab 30 mg in 1ml injection,alemtuzumab
alemtuzumab 30mg/1ml concentrate for infusion(1via,alemtuzumab
alemtuzumab 30mg/1ml solution for infusion vials,alemtuzumab
alemtuzumab 30mg/1ml solution for infusion vials 3 vial,alemtuzumab
alemtuzumab infusion,alemtuzumab
alemtuzumab infusion (patient use),alemtuzumab
alemtuzumab injection 12mg,alemtuzumab
alemtuzumab!12mg/1.2ml!concentrate for infusion,alemtuzumab
alemtuzumab!12mg/1.2ml!concentrate for infusion (1 vial),alemtuzumab
alemtuzumabadmin tag,alemtuzumab
alemtuzumabinjection12mg,alemtuzumab
amgevita,adalimumab
amgevita,adalimumab
amgevita (homecare pen pack) adalimumab,adalimumab
amgevita 40mg/0.8ml solution for injection pre-filled pen (amgen ltd),adalimumab
amgevita 40mg/0.8ml solution for injection pre-filled syringes (amgen ltd),adalimumab
amgevita pfs 40mg                9004607,adalimumab
amgevita sure click pen 40mg,adalimumab
amgevita sure click pen 40mg   9004699,adalimumab
amgevita sure click pen 40mg   9004699  ,adalimumab
amgevita topup charge,adalimumab
anakinra,anakinra
anakinra,anakinra
anakinra - homecare,anakinra
anakinra - homecare 100 mg pre-filled syringe,anakinra
anakinra - kineret (pre-filled syringe),anakinra
anakinra (caps),anakinra
anakinra (home delivery),anakinra
anakinra (homecare),anakinra
anakinra (homecare) 100 mg pre-filled syringe,anakinra
anakinra (kineret) pre-filled syringe,anakinra
anakinra 100 mg in 0.67ml injection,anakinra
anakinra 100 mg injection,anakinra
anakinra 100 mg injection 7 x 0.67ml pre-filled syringe pack,anakinra
anakinra 100 mg/0.67ml soln for inject pf syringes,anakinra
anakinra 100 mg/0.67ml soln for inject pf syringes (net of return),anakinra
anakinra 100mg,anakinra
anakinra 100mg pfs (kineret),anakinra
anakinra 100mg pfs (kineret)    3854783,anakinra
anakinra 100mg pfs (kineret)   usp0557,anakinra
anakinra 100mg/0.67ml injection pk 7,anakinra
anakinra 100mg/0.67ml solution for injection pre-filled syringes,anakinra
anakinra 100mg/0.67ml solution for injection pre-filled syringes,anakinra
anakinra delivery,anakinra
anakinra delivery charge (home delivery),anakinra
anakinra homecare service charge,anakinra
anakinra sub-cutaneous injection 100mg/0.67ml,anakinra
anakinra_(homecare) 100 mg injection,anakinra
anakinrasub-cutaneousinjection100mg/0.67ml,anakinra
aseptic cost - rituximab truxima,B cell
baricitinib,JAKi
baricitinib,JAKi
baricitinib  4mg tablets,JAKi
baricitinib $ (homecare),JAKi
baricitinib (),JAKi
baricitinib (1 tablet homecare,JAKi
baricitinib (1 tablet homecare pa),JAKi
baricitinib (1 tablet homecare pack),JAKi
baricitinib (home delivery),JAKi
baricitinib (home delivery) 2 mg film coated tablets,JAKi
baricitinib (home delivery) 4 mg film coated tablets,JAKi
baricitinib (home) 2 mg film coated tablets,JAKi
baricitinib (home) 4 mg film coated tablets,JAKi
baricitinib (homecare),JAKi
baricitinib (homecare) 2 mg tablets,JAKi
baricitinib (homecare) 2 mg tablets,JAKi
baricitinib (homecare) 4 mg tablets,JAKi
baricitinib (homecare) 4 mg tablets,JAKi
baricitinib (olumaint) (hhome) 4 mg tablets,JAKi
baricitinib (olumiant),JAKi
baricitinib (olumiant),JAKi
baricitinib (olumiant) [homecare] (rheumatology) 4 mg tablets,JAKi
baricitinib (olumiant) 2 mg tablets,JAKi
baricitinib (olumiant) 2 mg tablets 28 tablet pack,JAKi
baricitinib (olumiant) 4 mg tablets,JAKi
baricitinib (olumiant) 4 mg tablets 28 tablet pack,JAKi
baricitinib (olumiant) for homecare therapy,JAKi
baricitinib (olumient) 2 mg tablets,JAKi
baricitinib (olumient) 4 mg tablets,JAKi
baricitinib (pas) 2 mg tablets,JAKi
baricitinib (pas) 4 mg tablets,JAKi
baricitinib (rnhrd) (olumiant) [homecare] 4 mg tablets,JAKi
baricitinib 2 mg film coated tablets,JAKi
baricitinib 2 mg tablet,JAKi
baricitinib 2 mg tablets,JAKi
baricitinib 2mg tablets,JAKi
baricitinib 2mg tablets,JAKi
baricitinib 2mg tablets (1 tab)homecare,JAKi
baricitinib 4 mg film coated tablets,JAKi
baricitinib 4 mg tablet,JAKi
baricitinib 4 mg tablets,JAKi
baricitinib 4mg tablets,JAKi
baricitinib 4mg tablets,JAKi
baricitinib 4mg tablets,JAKi
baricitinib 4mg tablets (1 tab) homecare,JAKi
baricitinib 4mg tablets 28 tablet,JAKi
baricitinib tabs 2mg,JAKi
baricitinib tabs 4mg,JAKi
baricitinib!2mg!tablets (1 tab)homecare,JAKi
baricitinib!4mg!tablets,JAKi
baricitinib!4mg!tablets (1 tab) homecare,JAKi
baricitinib_(homecare) 2 mg tablets,JAKi
baricitinib_(homecare) 4 mg tablets,JAKi
baricitinib_hc,JAKi
baricitnib,JAKi
baricitnib (olumiant) 4 mg tablets,JAKi
baxter rituximab,B cell
baxter rituximab (truxima),B cell
belimumab,belimumab
belimumab,belimumab
belimumab,belimumab
belimumab (benlysta),belimumab
belimumab 120 mg intravenous infusion,belimumab
belimumab 120 mg powder for injection,belimumab
belimumab 120mg powder for solution for infusion vials,belimumab
belimumab 120mg powder for solution for infusion vials,belimumab
belimumab 400 mg intravenous infusion,belimumab
belimumab 400 mg powder for injection,belimumab
belimumab 400mg powder for solution for infusion vials,belimumab
belimumab 400mg powder for solution for infusion vials,belimumab
